張,Individual measure word for the mouth or face of a person or animal.,zhāng 
找,"to rerurn change after a purchas, to look for, to search",zhăo 
找到,to search out; to find,zhăodào 
著急,"to be nervous, anxious",zhāojí 
照片(兒),photograph,zhàopiàn(ér) 
照相機,camera,zhàoxiàngjī 
著,"P: a verbal suffix, indicating the action or the state is continuing",zhe 
這,this,zhè 
這裡,here,zhèlǐ 
這麼,"so, like this",zhème 
真,"really/ real, true",zhēn 
正在,be in process/ course of,zhèngzài 
這些,these,zhèxiē 
這樣,"such, this kind",zhèyàng 
只,only,zhǐ 
紙,paper,zhǐ 
枝,Individual measure word for flowers and grass.,zhī 
枝,Individual measure word for rod-shaped article.,zhī 
隻,Measure word for the one of two things of the same kind.,zhī 
隻,Measre word for one of the symetrical limbs or organs of people or animals.,zhī 
隻,Individual measure word for insects or animals,zhī 
知道,to know,zhī dào 
只好,"cannot but, have to",zhǐhăo 
種,"plant, cultivate, sow",zhòng 
種,Collective measure word for people or things of the same kind.,zhǒng 
種,Collective measure word for abstract things of the same kind.,zhǒng 
鐘(頭),hour,zhōng(tóu)
中國,"China, Chinese",zhōngguó 
中間,"between, among, in the middle of",zhōngjiān 
中文,Chinese language,zhōngwén 
中午,noon,zhōngwŭ 
中心,"center, heart, central point",zhōngxīn 
重要,"to be important, to be vital",zhòngyào 
周末,weekend,zhōumò 
住,"to stay, to live",zhù 
祝,"to wish (someone good health, good luck, etc.) to offer good wishes",zhù 
煮,"boil, cook",zhŭ 
豬,"pig, hog, swine",zhū 
裝,"to fill, to load",zhuāng 
準備,"to prepare, to intend",zhŭnbèi 
桌(子),table,zhuō(zi) 
注意,"to pay attention to, to take notice of ",zhùyì 
字,character,zì 
自己,"oneself, by oneself",zìjǐ 
總是,"always, without exception",zǒngshì 
總統,president (of a public),zǒngtǒng 
走,to walk,zǒu 
走路,to walk (in the road or street),zǒulù 
最,"the most, -est",zuì 
嘴巴,mouth,zuǐbā 
最近,"recently, lately",zuìjìn 
做,"to do, to make",zuò 
坐,to sit,zuò 
左(邊),left,zuǒ(biān)
做菜,to cook,zuòcài 
昨天,yesterday,zuótiān 
做完,done,zuòwán 
作業,homework,zuòyè 
足球,"football, soccer",zúqiú 
